,en
coal_mines,Угольные шахты
cotton_plantations,Хлопковые плантации
grain_fields,Зерновые поля
iron_mines,Железные рудники
oilfields,Нефтяные скважины
rubber_plantations,Плантации резины
sulphur_mines,Серные шахты
forest,Лес
,
steel_plant,Сталелитейный завод
textile_factory,Текстильная фабрика
glass_factory,Стеклозавод
ammo_factory,Завод боеприпасов
charcoal_factory,Фабрика древесного угля
mech_parts_factory,Завод автозапчастей
rifles_factory,Завод стрелкового оружия
saltpeter_factory,Завод искусственной серы
tank_factory,Танковый завод
electrical_parts_factory,Завод электрооборудования
lumber_plant,Завод пиломатериалов
cars_factory,Автозавод
airplane_factory,Авиазавод
phone_factory,Телефонный завод
radio_factory,Радиозавод
furniture_factory,Мебельная фабрика
distillery,Спиртзавод
clothes_factory,Фабрика одежды
canning_factory,Консервный завод
fuel_factory,Топливный завод
senthetic_textile_factory,Завод синтетической ткани
senthetic_rubber_factory,Завод синтетической резины
senthetic_oil_factory,Завод синтетической нефти
